,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,
6614,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6615,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6616,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6617,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6618,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6619,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6620,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6575,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6621,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6623,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6624,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6625,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6626,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6627,,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6628,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6629,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6622,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6649,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6574,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6572,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6518,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6519,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6520,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6521,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6522,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6523,,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6524,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6525,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6526,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6527,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6528,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6529,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6530,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6531,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6532,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6517,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6533,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6516,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6514,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6499,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6500,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6501,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6502,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6503,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6504,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6505,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6506,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6507,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6508,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6509,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6510,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6511,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6512,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6513,,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
