,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
371,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5769,,10.0,0.0,1.0,3.0,0.0,0.0,9.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
7701,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
7715,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
357,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5455,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
790,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
0,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5321,,10.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
329,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
48,,10.0,0.0,0.0,3.0,0.0,0.0,8.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
258,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4765,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4751,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4691,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4621,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4607,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
50,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4547,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
260,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4399,,10.0,0.0,1.0,3.0,0.0,0.0,8.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
