,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
2563,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2565,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2569,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2570,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2572,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2575,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2578,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2580,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2582,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2584,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2588,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2538,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2536,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2528,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2526,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2468,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2472,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2480,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2483,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2484,,6.0,0.0,2.0,0.0,1.0,352.0833333333333,0.0
2486,,6.0,0.0,2.0,0.0,1.0,352.0833333333333,0.0
2489,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2491,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2458,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2503,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2507,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2509,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2511,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2512,,6.0,0.0,2.0,0.0,2.0,352.0833333333333,0.0
2515,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2517,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2518,,6.0,0.0,2.0,0.0,1.0,352.0833333333333,0.0
2521,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2504,,6.0,0.0,2.0,0.0,1.0,352.0833333333333,0.0
2816,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2818,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2821,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3121,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3122,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3129,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3150,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3153,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3154,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3157,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3159,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3162,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3168,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3170,,6.0,1.0,1.0,0.0,2.0,352.0833333333333,0.0
3172,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3175,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3176,,6.0,1.0,1.0,0.0,2.0,352.0833333333333,0.0
3178,,6.0,1.0,1.0,0.0,2.0,352.0833333333333,0.0
3181,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3182,,6.0,1.0,1.0,0.0,1.0,352.0833333333333,0.0
3120,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3119,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3118,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3117,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3084,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3086,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3088,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3090,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3092,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3094,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3095,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3096,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3185,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3097,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
3101,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
3106,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3107,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
3108,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3109,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
3114,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3115,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
3116,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
3100,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
3082,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
3187,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
